      Step     Time          Energy          fmax
BFGS:    0 15:33:46     -310.734545        0.680726
BFGS:    1 15:35:53     -310.748673        0.378290
BFGS:    2 15:38:23     -310.756102        0.100913
BFGS:    3 15:40:45     -310.756489        0.081467
BFGS:    4 15:43:28     -310.756971        0.036751
BFGS:    5 15:45:56     -310.757022        0.024857
BFGS:    6 15:48:45     -310.757055        0.015438
BFGS:    7 15:51:21     -310.757079        0.015326
BFGS:    8 15:54:07     -310.757091        0.006912
